item_key,2020-08-24
Potato,28.0
Red Onions,12.0
Cauliflower,25.0
Cabbage,11.0
Brinjal Bharta,13.0
Pumpkin,6.0
Brinjal Kateri,15.0
Cucumber,9.0
Bhindi/Lady's Finger,12.0
Bitter Gourd,8.0
Sponge Gourd,13.0
Beetroot,9.0
Tondli,7.0
Button Mushroom,30.0
Raw Banana,8.0
Bottle Gourd,10.0
Drumsticks,15.0
Capsicum,20.0
Gawar/Cluster Beans,10.0
French Beans,18.0
Baby Corn,33.0
Tomato,30.0
Cherry Tomato,16.0
Sweet Corn,11.0
Broccoli,53.0
Lettuce,18.0
Apples Washington,205.0
VNR Guava,65.0
Imported Oranges,114.0
Pineapple Whole,50.0
Kiwi Zespri Imported,78.0
Banana,10.0
Garlic,28.0
Ginger,23.0
Green Chilly,7.0
Lemons,4.0
Curry Leaves,5.0
Coriander Leaves,32.0
Mint Leaves,5.0
Lemongrass,4.0
Palak/Spinach,17.0
Shepu/Dill Leaves,10.0
Methi Leaves,33.0
Red/Yellow Bell Peppers,92.0
Green Zucchini,10.0
Yellow Zucchini,14.0
Arbi Leaves,5.0
Basil Leaves,16.0
Arbi/Colocasia,16.0
