item_key,2020-08-24
Potato,1.0;Kg
Red Onions,1.0;Kg
Cauliflower,1.0;Pieces
Cabbage,1.0;Pieces
Brinjal Bharta,1.0;Pieces
Pumpkin,0.5;Kg
Brinjal Kateri,0.5;Kg
Cucumber,0.5;Kg
Bhindi/Lady's Finger,0.5;Kg
Bitter Gourd,0.3;Kg
Sponge Gourd,0.5;Kg
Beetroot,0.5;Kg
Tondli,0.5;Kg
Button Mushroom,0.2;Kg
Raw Banana,0.5;Kg
Bottle Gourd,1.0;Pieces
Drumsticks,0.25;Kg
Capsicum,0.5;Kg
Gawar/Cluster Beans,0.3;kg
French Beans,0.5;Kg
Baby Corn,0.3;Kg
Tomato,1.0;Kg
Cherry Tomato,0.25;Kg
Sweet Corn,2.0;Pieces
Broccoli,0.25;Kg
Lettuce,0.25;Kg
Apples Washington,1.0;Kg
VNR Guava,1.0;Kg
Imported Oranges,4.0;Pieces
Pineapple Whole,1.0;Pieces
Kiwi Zespri Imported,3.0;Pieces
Banana,6.0;Pieces
Garlic,0.25;Kg
Ginger,0.25;kg
Green Chilly,0.2;kg
Lemons,5.0;Pieces
Curry Leaves,1.0;Bunch
Coriander Leaves,0.25;Kg
Mint Leaves,1.0;Bunch
Lemongrass,1.0;Bunch
Palak/Spinach,1.0;Bunch
Shepu/Dill Leaves,1.0;Bunch
Methi Leaves,0.35;kg
Red/Yellow Bell Peppers,4.0;Pieces
Green Zucchini,1.0;Pieces
Yellow Zucchini,1.0;Pieces
Arbi Leaves,6.0;Pieces
Basil Leaves,0.2;Kg
Arbi/Colocasia,0.5;Kg
