item_key,2020-08-24
Potato,36.0
Red Onions,18.0
Cauliflower,45.0
Cabbage,24.0
Brinjal Bharta,28.0
Pumpkin,20.0
Brinjal Kateri,35.0
Cucumber,24.0
Bhindi/Lady's Finger,25.0
Bitter Gourd,17.0
Sponge Gourd,25.0
Beetroot,20.0
Tondli,14.0
Button Mushroom,60.0
Raw Banana,25.0
Bottle Gourd,28.0
Drumsticks,25.0
Capsicum,40.0
Gawar/Cluster Beans,17.0
French Beans,40.0
Baby Corn,60.0
Tomato,45.0
Cherry Tomato,40.0
Sweet Corn,35.0
Broccoli,85.0
Lettuce,35.0
Apples Washington,250.0
VNR Guava,120.0
Imported Oranges,180.0
Pineapple Whole,85.0
Kiwi Zespri Imported,95.0
Banana,22.0
Garlic,50.0
Ginger,32.0
Green Chilly,20.0
Lemons,15.0
Curry Leaves,5.0
Coriander Leaves,40.0
Mint Leaves,10.0
Lemongrass,10.0
Palak/Spinach,30.0
Shepu/Dill Leaves,28.0
Methi Leaves,48.0
Red/Yellow Bell Peppers,130.0
Green Zucchini,30.0
Yellow Zucchini,30.0
Arbi Leaves,20.0
Basil Leaves,40.0
Arbi/Colocasia,40.0
